Index,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"engineer, mining","May 29, 2024",2024-06-28,"May 29, 2024",Vale Canada,Labrador City (NL),Salary not available,2063215,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #2063215,Not specified
1,mining engineer,"May 28, 2024",2024-06-27,"May 28, 2024",Vale Canada,Labrador City (NL),Salary not available,1986377,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #1986377,Not specified
2,mining engineer,"May 28, 2024",2024-06-27,"May 28, 2024",Vale Canada,Labrador City (NL),Salary not available,1986372,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #1986372,Not specified
3,"engineer, mining","May 22, 2024",2024-06-21,"May 22, 2024",Vale Canada,Labrador City (NL),Salary not available,2056837,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Labrador City , NL",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #2056837,Not specified
4,"engineer, mining","May 18, 2024",2024-06-17,"May 18, 2024",Vale Canada,Greater Sudbury (ON),Salary not available,2053897,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #2053897,Not specified
5,"engineer, mining","May 23, 2024",2024-06-22,"May 23, 2024",Vale Canada,Long Harbour-Mount Arlington Heights (NL),Salary not available,2057718,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Long Harbour-Mount Arlington Heights , NL",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #2057718,Not specified
6,mining engineer,"June 07, 2024",2024-06-29,"June 07, 2024",Scout Talent Inc.,Toronto (ON),"Salary:$150,000.00 to $190,000.00 annually (to be negotiated)",2950252,"{'Language Requirement': 'English', 'Experience Requirement': '5 years or more', 'Benefits': ['Dental plan', 'Health care plan', 'Bonus', 'Learning/training paid by employer', 'Other benefits', 'Paid time off (volunteering or personal days)']}","Toronto , ON Remote work available","$ 150,000 to $ 190,000 YEAR annually (To be negotiated) / 40 hours per week",Permanent employment Full time,Starts as soon as possible,1 vacancy,Job Bank #2950252,Permanent placement opportunity
7,mining engineer,"May 22, 2024",2024-06-20,"May 22, 2024",Abcourt Mines Inc.,Amos (QC),Salary not available,13599291,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Amos , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13599291,Not specified
8,mineral engineer,"May 23, 2024",2024-06-22,"May 23, 2024",Vale Canada,Thompson (MB),Salary not available,1936418,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thompson , MB",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #1936418,Not specified
9,mineral engineer,"June 05, 2024",2024-07-04,"June 05, 2024",Abcourt Mines Inc.,Amos (QC),Salary not available,13514940,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Amos , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13514940,Not specified
